Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GCT Balance;Avg Run Cadence;Max Run Cadence;Training Stress Score®;Avg Power;Max Power;Grit;Flow;Avg. Swolf;Avg Stroke Rate;Total Reps;Dive Time;Min Temp;Surface Interval;Decompression;Best Lap Time;Number of Laps;Max Temp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;08.08.2022 10:54;false;Warszawa Bieganie;cze.20;358;00:31:13;145;171;03.lut;160;181;05:02;03:53;58;64;sty.24;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:09.00;8;0.0;00:31:03;00:33:14;78;94
Running;05.08.2022 17:58;false;Czaplinek Bieganie;sty.36;118;00:24:35;111;128;0.5;66;160;18:05;08:30;12;13;0.85;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;08:24.84.2;2;0.0;00:19:17;00:24:59;148;155
Running;04.08.2022 09:59;false;Czaplinek Bieganie;mar.99;259;00:21:11;156;176;3.0;162;170;05:18;04:43;13;13;sty.17;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;05:05.95.9;4;0.0;00:21:02;00:21:28;148;155
Running;01.08.2022 22:26;false;Warszawa Bieganie;lip.41;452;00:35:32;157;178;03.sie;164;179;04:48;04:08;81;89;sty.27;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03.07.2022 01:51;8;0.0;00:35:20;00:36:18;77;92
Running;24.07.2022 12:35;false;Izabelin Bieganie;cze.83;412;00:38:52;140;158;02.wrz;155;181;05:42;04:40;148;144;sty.13;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;04:57.87.2;7;0.0;00:37:30;00:41:46;90;153
Running;22.07.2022 15:29;false;Warszawa Bieganie;09.sty;604;00:45:38;174;189;04.mar;161;230;05:04;04:25;125;126;sty.23;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:34.47.1;10;0.0;00:45:16;00:56:59;77;103
Running;17.07.2022 19:32;false;Rzewnie Bieganie;cze.33;385;00:32:14;148;158;03.lut;164;175;05:05;04:41;44;45;sty.20;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:42.57.8;7;0.0;00:32:12;00:32:14;81;95
Running;16.07.2022 00:48;false;Warszawa Bieganie;0.08;5;00:00:31.8;130;144;0.4;130;170;06:41;04:54;--;--;sty.16;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:31.75;1;0.0;00:00:26;00:00:31.8;119;121
Running;06.07.2022 19:22;false;Warszawa Bieganie;cze.88;430;00:37:06;146;171;03.mar;162;185;05:24;04:18;70;71;sty.14;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;04:14.86.7;7;0.0;00:36:37;00:39:13;80;96
Running;04.07.2022 21:51;false;Warszawa Bieganie;cze.69;420;00:34:43;150;171;03.kwi;163;207;05:11;03:53;62;64;sty.18;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:35.88.8;7;0.0;00:34:29;00:35:51;74;87
Running;02.07.2022 19:29;false;Warszawa Bieganie;sty.88;112;00:10:29;132;154;02.sty;161;189;05:34;04:39;14,819;14,842;01.gru;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;04:40.67;2;0.0;00:10:12;00:11:16;77;7,514
Running;02.07.2022 18:14;false;Warszawa Bieganie;mar.89;246;00:20:18;150;163;3.0;162;174;05:13;04:32;85;58;sty.19;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;04:50.14;4;0.0;00:20:03;00:21:52;74;133
Treadmill Running;20.06.2022 18:41;false;Bieg na bieżni;sty.86;121;00:14:25;122;131;1.0;151;186;07:44;05:50;--;--;0.85;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;02:50.50.5;2;0.0;00:13:32;00:14:25;--;--
Running;16.05.2022 20:35;false;Warszawa Bieganie;sty.18;72;00:06:10.4;143;165;2.0;148;177;05:15;04:05;20;12;sty.29;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;26.01.2022 01:15;2;0.0;00:05:54;00:09:30.8;86;105
Running;04.05.2022 18:35;false;Warszawa Bieganie;cze.71;435;00:35:25;149;162;03.sty;164;219;05:17;04:02;61;63;sty.15;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:35.33.7;7;0.0;00:35:12;00:39:36;77;93
